作者,看板,標題,時間,分數,內容
WARgame723 (ss),movie,[討論] 薩諾斯靠美軍就能打贏了,Wed Aug 21 20:05:18 2019,0,"
復4的最終戰一堆英雄像免洗小兵一樣在那邊衝，看了覺得很好笑，現代戰爭都在用飛彈了
就你們拿冷兵器在那邊打

復仇4的薩諾斯還有他們的軍隊，靠美軍就能打贏了，戰機導彈射一射，玩死那些外星兵種

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 111.82.105.13 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1566389120.A.398.html
"
BleedWang (),movie,Re: [新聞] 蜘蛛人與死侍合體希望破滅！萊恩雷諾斯正,Wed Aug 21 20:13:54 2019,1,"
一般這種兩家公司的商業衝突

演員會儘量避免評論 避免得罪人

這一次死侍跟鷹眼這麼勇於表態

感覺兩邊演戲成份越來越大

目的是幫8/29號重新上映的離家日造勢

我估計大概九月就會有好結果了

-----
Sent from JPTT on my OPPO CPH1707.

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 110.50.139.61 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1566389636.A.1F3.html
"
neo5277 (I am an agent of chaos),movie,Re: [討論] 索尼自己拍蜘蛛人肯定票房不會高,Wed Aug 21 20:17:37 2019,0,"
※ 引述《jobechi ()》之銘言：
: 這裡好像真的一堆人自以為
: 現在所有英雄電影都是沾MCU的光
: 就拿蜘蛛人來說好了
: 先不論你個人覺得到底哪個版本最好
: 這本來就是個人喜好沒有標準答案
: 但就票房來說
: 2002蜘蛛人  8.2億
: 2004蜘蛛人2  7.8億
: 2007蜘蛛人3  8.9億
: 2012蜘蛛人:驚奇再起  7.5億
: 2014蜘蛛人:驚奇再起2  7.09億
: 2017蜘蛛人:返校日  8.8億
: 2019蜘蛛人:離家日  11億(目前）
: 那些說蜘蛛人是沾MCU光的人
: 如果真的是沾MCU的光請問返校日有鋼鐵人的加持怎麼也才8.8億
: 而首次破10億的離家日還是打著MCU第三階段真正結尾的招牌才能有這種成績
: 如果你是SONY把版權借給你迪士尼結果跟我自己拍票房差不多
: 雖然票房是SONY全拿但周邊收入都不能拿
: 然後現在迪士尼還打算來跟你分一杯羹
———————————

索尼一定是仗著自己有版權

想要把走向導去 動畫的蜘蛛人平行宇宙

然後讓邁爾斯出場，應該又會一堆PC

用索尼最會的掏出一堆錢跟動畫

弄出一堆角色大堆頭，配上猛毒這樣


徹底再把蜘蛛人這塊招牌搞砸一次


或是先走前兩年ps蜘蛛人遊戲的劇情

但是沒有跟MCU互動，現在觀眾胃口都養大了，你只有單獨蜘蛛人宇宙根本搔不到癢處，M
CU架構這麼成功就不用再搞一國兩制了，SONY自己要想清楚新蜘蛛人沒有漫威的人去弄看
看之前第三集，跟驚奇的兩集，對了是沒賠，但是你看看之後會不會中啊。

最後還是要來一句請皇上下令拘捕索尼

fuck you sony

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 122.121.64.225 (臺灣)

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 223.139.115.205 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1566389859.A.575.html
"
kyouya (約克郡的小羊),movie,[討論] 荷蘭蜘蛛的未來？,Wed Aug 21 20:31:53 2019,11,"

今天迪士尼和索尼的談判破局

小蜘蛛要脫離mcu 了

這不是只代表小蜘蛛第三集不會有mcu的角色亂入嗎？

荷蘭應該還會繼續演吧？

怎麼有人說要重開機？

我理解有誤嗎？？？？
-----
Sent from JPTT on my iPhone

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 39.13.39.41 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1566390716.A.1DB.html
"
china2025 (),movie,[爛雷] 復仇者聯盟4   End Game ,Wed Aug 21 20:36:45 2019,-6,"












雷文防雷資訊頁














~*-*~*-*~*-*~*-*~*-*~*-*~*-*~*-*~*-*~*-*~*-*~*-*~



~~~~~~~~~~~~~~~~~~~ 雷文 主文分隔線 ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~


   復仇者在英文裡都是hero這個單字吧
   但是這群hero做出來的行為卻像是暴徒

   薩諾斯好歹是因為有理想而殺了一半人類
   之後復仇者也看到了薩諾斯落魄的處境
   他可憐的萎縮在一個長著作物與夕陽的星球
   而萬萬沒想到復仇者這一群人竟然仗著人多勢眾打落水狗!!!

   看到薩諾斯已經身為一個歸隱山林的農夫(可能還三餐不繼)
   復仇者甚至沒有打算跟薩諾斯一對一
   像是維持英雄風範或者是敬重薩諾斯這個對手一樣

   仗著肌肉發達而薩諾斯有點半殘
   復仇者一擁而上
   像是數十個流氓群起毆打一個可憐的老人(這老人就是薩諾斯)

   美國隊長不是心地最善良最守法最公正有頭腦嗎
   像是薩諾斯這般人物
   應該把他拘捕並且交由地球人法庭審判
   畢竟我們不是對付一個小癟三
   而是一個人類史上的超重刑犯(殺了一半人類)
   應該由法律定罪以及向全人類宣布薩諾斯的罪刑
   宣判薩諾斯無限個無期徒刑
   讓全人類得到慰藉安心與彌補

   沒想到
   因為第三集被打成廢鐵的復仇者
   早已經喪失hero風範
   人類死活並不重要
   重要的是復仇者要報""私仇""

   ""私仇"" 沒錯 就是私仇

   一夥人找到了薩諾斯(其實這時候薩諾斯已經風中殘燭了)
   也不必向人類宣布
   也不必逮捕
   一出手就砍下薩諾斯的一隻手

   砍下手後發現手套已廢
   而薩諾斯重傷無力的癱軟在地

   馬的 雷神?

   他還好意思自稱為神嗎
   趁薩諾斯重傷彌留之際
   正在跟他(薩諾斯)所愛的""女兒""對話時

   雷神燃起的憤怒
   而這""憤怒""究竟是甚麼?
   是偉大的愛人類之愛嗎
   是有極深重的偉大情感嗎

   都不是
   其實只是雷神被薩諾斯打敗
   這個肌肉棒子(雷神)的自尊心受損
   巴不得以暴制暴

   終於
   給雷神逮到機會
   一刀砍下薩諾斯的頭
   劇組還加了雷神一句台詞
   ""這次我砍..."" (抱歉 實在太爛 我跳著看 沒記)
   劇組自以為幽默 我根本笑不出來

   其實
   應該還有許多話復仇者們沒跟薩諾斯說完
   包括他殺人的動機等等
   薩諾斯應該被逮並送回地球面對全人類

             薩諾斯必須交代他的罪刑
             而不是被為復仇而復仇的復仇者""虐殺""

   結果
   在一個狹小骯髒的房間
   復仇者集體痛宰了薩諾斯這個已經半殘的人
   這樣也叫做superhero噢
   然後 許多失去親人的地球人家庭沒半個人知道

   就是一群肌肉棒子被打敗後報私仇
   虐殺薩諾斯的爛故事

   難道復仇者看不出來薩諾斯已經不行了嗎
   雷神那一擊有石破天驚嗎?
   雷神那一擊有很偉大代表甚麼嗎

   (搖頭)只是報私仇罷了
   爛片

   ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
   世紀爛片

   要不是復三埋了問號
   讓人想知道薩諾斯的未來故事
   我根本不想看第四集

   ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
   看完薩諾斯被殺 後面就跳著看

   這種漫畫電影
   果然跟大文豪的作品(例如世界名著)差很多
   漫畫是心智未成熟的十七八歲看的
   而世界名著電影
   則是處事圓融成熟的四十歲成年人看的


--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 118.160.85.91 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1566391007.A.70E.html
"
tinatinajj (),movie,[片單] 「薩滿文化/身心精神醫學相關的電影」,Wed Aug 21 20:38:06 2019,6,"


最近對薩滿文化很好奇，想找一些關於薩滿文化的電影來看。據我微薄的了解，薩滿除了
與人類學領域相關之外，其實也和所謂的精神醫學領域相關。因此，想在電影版上詢問看
看，有哪些電影是和薩滿文化相關的呢？


若有稍微提到一點點（或引發聯想及延伸），不算電影主要內容的也可以，例如，《青春
倒退嚕》，裡面其實就有提到一些些，只不過，劇中男女主角前往的靈修場合，靈修帶領
者，我感覺上是有點詐騙的意謂！


目前主要已知大約類型有：

《最後的薩滿》、《盲國薩滿》、
《前任薩滿》、《哭聲》、《阿凡達》


期盼大家的推薦，感恩！謝謝！
（手機排版）


--
posted from bbs reader hybrid on my InFocus IF9002

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 101.137.13.234 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1566391088.A.EAA.html
"
ayami0219 (彩實),movie,[贈票] 明晚”我家有個開心農場”特映,Wed Aug 21 20:50:46 2019,0,"
多一張要讓出～
晚上九點開演 在西門町真善美。
開演前面交意者請先站內信

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 39.12.34.169 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1566391848.A.8A6.html
※ 編輯: ayami0219 (39.12.34.169 臺灣), 08/21/2019 22:56:36
"
ericisfish (台中李宗瑞),movie,[討論] 長輩常常拿倩女幽魂跟第六感生死戀比較?,Wed Aug 21 20:56:24 2019,2,"
如題

之前在外面聽到一首歌

長輩就說這是第六感生死戀的歌


談著談著他們就把倩女幽魂拿出來比較

而且很奇怪

一致認為倩女幽魂略勝


當時我覺得很奇怪

覺得美國經典電影怎可能會輸

去把兩部都拿來看


自己覺得第六感生死戀質感比較好啦

而且內容也不太一樣

那鄉民覺得哪部比較好看呢?

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 36.239.68.126 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1566392187.A.3F2.html
※ 編輯: ericisfish (36.239.68.126 臺灣), 08/21/2019 20:57:49
我也這樣覺得
※ 編輯: ericisfish (36.239.68.126 臺灣), 08/21/2019 21:05:01
"
k91011022 (徬徨),movie,[問片] 天使救援 值得花錢看嗎?,Wed Aug 21 20:58:14 2019,9,"

聽同事問說 今晚要不要看


但我看那預告片很無感, 文章也不多


跟玩命關頭比起來, 假設玩命關頭是85分,這片大概幾分?



--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 123.192.95.115 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1566392297.A.374.html
"
witchgaze (瞪巫),movie,Fw: [情報] 嘉義承億小鎮免費電影放映（諸羅夏日電影座）,Wed Aug 21 21:08:23 2019,0,"
※ [本文轉錄自 Chiayi 看板 #1TNJ--tA ]

作者: witchgaze (瞪巫) 看板: Chiayi
標題: [情報] 承億小鎮免費電影放映（諸羅夏日電影座）
時間: Wed Aug 21 20:57:32 2019

 綠 豆 鄉 民 情 報 局   搶 鮮！

活動名稱：2019諸羅夏日電影座

地址：承億小鎮慢讀 600嘉義市東區中山路203號

電話：05 224 6000

優惠內容：免費電影放映及映後講座，亦有提供免費茶水點心。

優惠期限：8/24（六） 8/25（日）



活動就在這禮拜周末了，雖然天氣狀況現在看來不理想。
但還是歡迎大家（如果）放颱風假的話可以來承億小鎮看看電影、喝喝飲料、躲躲大雨~


FB：2019諸羅夏日電影座
IG：@cyfilmfestival


https://imgur.com/3odaSQb



《2019 諸羅夏日電影座——青檸特調》

青春，是一顆半熟檸檬，由強勁刺激的酸、略帶憂愁的苦、說不出口的澀和溫潤回甘的甜
所構成，混著身體內旺盛的荷爾蒙與站在人生十字路口的迷惘，青春成了人生中最特殊且
最吸引人的一種滋味，影像工作者們將不同時、不同地、不同人，但卻是同一個年少輕狂
化為膠卷呈現在眾人眼前，訴說著各個不同的青春年華，這個夏末，走進影廳，找個舒服
的座位，來回甘、感受、啜飲這杯『青檸特調』吧！


日期｜8/24(六)~8/25(日)

地點｜嘉義承億小鎮慢讀四樓展演空間

時程表｜
8/24(六)
09:30~10:00 開放進場
10:00~10:30 開幕式
10:40~12:50《夏》
13:00~14:30【夏 映後講座】
15:00~15:30 開放進場
15:30~17:30《紐約哈哈哈》
17:40~19:10【紐約哈哈哈 映後講座】

8/25(日)
10:30~11:00 開放進場
11:00~13:00《聽媽媽的話》
13:10~14:40【聽媽媽的話 映後講座】
15:00~15:30 開放進場
15:30~17:30《法外之徒》
17:40~19:10【法外之徒 映後講座】


活動注意事項：
1. 本活動為現場入場制(不收費、 不需票券)，座位有限，額滿為止，如進場時間後進場
，需視當天工作人員判斷有無空位而開放進場，中途離開不保留座位
2. 本活動提供茶水點心，來賓可酌量取用，數量有限
3. 電影播放期間請將手機轉為靜音模式
4. 場內禁止喧嘩吵鬧
5. 場內禁止攜帶寵物
6. 場內禁止吸菸及嚼食檳榔
7. 場內禁止使用任何攝影錄音器材
8. 場內禁止攜帶重口味食物


https://imgur.com/82UMdme

https://imgur.com/U8blsXw

https://imgur.com/KW0s0ii

https://imgur.com/G87SobR




更多資訊請追蹤臉書及IG~

FB：2019諸羅夏日電影座
IG：@cyfilmfestival


--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 111.82.158.214 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/Chiayi/M.1566392254.A.DCA.html

※ 發信站: 批踢踢實業坊(ptt.cc)
※ 轉錄者: witchgaze (111.82.158.214 臺灣), 08/21/2019 21:08:23
"
NuCat (騎山豬撞教官),movie,Re: [討論] 只有我覺得漫威完蛋了嗎？,Wed Aug 21 21:13:13 2019,26,"
※ 引述《dameontree (花開花落自有時)》之銘言：
: 如提
題字寫錯了

: 迪士尼與SONY談判破局
: 怎麼這邊一面倒認為是索尼吃虧 是索尼不知好歹不接受迪士尼條件
: 好像索尼罪大惡極一定會走下坡一樣
: 正好相反好嗎？
: 當初沒有陶比蜘蛛人   英雄電影這個類型片還不知根本能不能崛起勒
: 漫威二十幾部 都是為蜘蛛人鋪陳的好不好
: 都是觀眾在期待未來有一天漫威頭號招牌蜘蛛人的加入才看的
: 沒有蜘蛛人  誰理你那些雜魚英雄
: 跟蜘蛛人比 什麼黑豹驚奇隊長啥的都是雜魚
: 我敢說如果確定漫威宇宙未來沒有蜘蛛人
: 剩下那些跑龍套的英雄電影
: 漫威電影只會走下坡
: 我支持SONY 抵制萬惡老鼠帝國


德不孤 必有鄰

你的想法與我不謀而合，

首先我認為 漫威現在的情況 很像蜀漢末期

根本就沒人才了

只剩一個諸葛亮在苦苦支撐

可以說 鋼鐵人就是漫威陣營的豬哥亮


諸葛亮 和 鋼鐵人    2人驚人的相似



1. 智力都很高接近滿分



2. 都發明了很多東西。


鋼鐵人就不用說了大家都很孰悉

諸葛亮我補充一下

他發明了 連弩、木牛流馬、饅頭、孔明燈、地雷 等。 據說麻將也是他發明的



3. 都曾內鬥自己家的第一猛將

諸葛鬥關公  鋼鐵人鬥美隊


4. 都能從雙手發射雷射光

臥龍光線 biu biu~


綜上。

我認為漫威陣營 少了 鋼鐵人 出師未捷身先死

現在情況 真的很危險

而蜘蛛人之於鋼鐵人   相當於姜維的地位 諸葛亮欽點的唯一接班人

現在諸葛掛了  姜維也被用計離間了

一下少掉兩人 漫威還能變出什麼把戲？

我大DC是否可以笑著一統江山了？


哈，是否　

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 112.81.99.31 (中國)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1566393196.A.BC7.html
   XDDDD 我會努力活下去！
   你講的這幾個就王平、廖化等級.... 鷹眼就相當於馬岱
   沒有老大在那邊Carry 就真的甚麼都不是
   蜘蛛人人氣要高分的多 角色魅力也不在一個檔次
   大家來集資讓漫威遊戲模組化吧 我超愛黑寡婦!
   就諸葛雷射啊!
   XDD 鋼鐵人胸前也有方舟能源炮啊
※ 編輯: NuCat (112.81.99.31 中國), 08/22/2019 00:00:25
"
pf775 (pf775),movie,[新聞] 梅根·福克斯稱出演韓片「長沙裏」是新挑,Wed Aug 21 21:13:50 2019,1,"
https://chinese.joins.com/big5/article.aspx?art_id=192116&category=003001

梅根·福克斯稱出演韓片「長沙裏」是新挑戰

來源：日刊體育 2019.08.21 14:43

8月21日首爾CGV影城狎鷗亭店舉行電影「長沙裏：被遺忘的英雄們」製作報告會，出演該
片的梅根·福克斯對決定出演的理由表示“首先是因為我沒有出演過以曆史為背景的電影
”。

接著她又表示，“另外更重要的是我很希望能夠和郭璟澤導演一起合作”，“這部作品本
身對我來說既是挑戰，也是冒險”。 '

「長沙裏：被遺忘的英雄們」 根據韓國戰爭時使戰爭形勢出現反轉的仁川登陸作戰前聲
東擊西的長沙登陸作戰的真實曆史故事改編而成，講述了為使仁川登陸作戰取得成功而投
入772名學生兵的故事。

韓國中央日報中文網 http://cn.joins.com/big5



--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 202.39.38.251 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1566393232.A.632.html
"
egg100152002 (培根蛋大),movie,[片單] 復仇片,Wed Aug 21 21:18:22 2019,6,"

1. 請簡述自身需求片單理由 或 欲尋找電影的類型或特徵（請盡量描述清楚）

 想找退休特務引退江湖後因為一些事情而復出
剛看完私刑教育系列百看不膩呀
懇請前輩們提點

2. 已知符合需求的電影或偏好的電影類型（為避免重複推文，請至少列舉一部）

即刻救援、私刑教育、龍吻、殺手黑嘉麗
3. 不喜歡的電影類型            （不需要板友推薦的電影片名）
寒單

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 14.201.104.244 (澳大利亞)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1566393504.A.16E.html
之前就看過啦～～～剛剛溫習剛看完
※ 編輯: egg100152002 (14.201.104.244 澳大利亞), 08/21/2019 21:20:29

看過，這老爸很強！
殺兇手很殘酷，但後來偏掉了 唉
※ 編輯: egg100152002 (14.201.104.244 澳大利亞), 08/21/2019 21:50:15
"
cheng0611 (阿元桑),movie,Re: [討論] 局外人看索尼和迪士尼關於蜘蛛人的談判,Wed Aug 21 14:11:38 2019,0,"
理性分析一下，先看版權，SONY有蜘蛛人電影版權，漫威（迪士尼）仍保有漫畫版權，超
英電影無非就是更具漫畫人設或故事題材做為基底改編的。
SONY最近想搞的蜘蛛宇宙，不得不說也是有受到漫畫中蜘蛛宇宙大事件（2014年）影響。

至於最近捧的兩位新蜘蛛人
女蜘蛛人關 　　漫畫初登場2014年
黑蜘蛛人麥爾斯  漫畫初登場2011年
其實這些都是漫威在千禧年前已經賣掉電影版權後創作出的新題材，當然後期創作的角色
版權到底算誰的還很模糊，但SONY既然可以拿來拍電影應該屬SONY的。

漫威方－
1.拍返校日跟離家日已經拿出誠意合作了，票房至少讓SONY躺著賺
2.漫威近期創造的新角色新故事也是靠漫畫先捧起來SONY才有機會拍電影
依據上面兩個理由漫威投入蠻多資源在捧蜘蛛人系列IP，要求均分算是合情合理。

再來分析歷史票房
蜘蛛人1         　票房8.2億美元／預算1.4億美元
蜘蛛人2   　　　　票房7.8億美元 ／預算2億美元
蜘蛛人3   　　　　票房8.9億美元 ／預算2.58億美元
蜘蛛人：驚奇在起  票房7.5億美元 ／預算2.3億美元
蜘蛛人：電光之戰  票房7.0億美元 ／預算2.X億美元
蜘蛛人：返校日　  票房8.8億美元 ／預算1.75億美元
蜘蛛人：離家日    票房11.09億元 ／預算1.6億美元

猛毒              票房8.5億美元 ／預算1.1億
蜘蛛人：新宇宙　  票房3.7億美元 ／預算9仟萬

SONY方
那兩部有漫威助陣確實有獲益，但如果要談平分，合作平分拿到的獲利遠不及SONY自己拍
的獲利，拒絕也只是在商言商。


目前應該是喬不攏先各走各的，如果後續漸行漸遠，只能希望SONY自成一派後自立自強。

至於漫威應該會讓蜘蛛人系列慢慢消失在漫畫中或是周邊授權遊戲，畢竟之前就對驚奇
四超人跟X戰警等用過這招。
而且後面排隊要拍電影的還很多，鋼鐵人跟美隊都可以退役了，真的不差蜘蛛人...

當然還是期待能重啟談判，我個人是覺得同個宇宙還是會多點額外的樂趣。



※ 引述《t13thbc (the 13th black cat)》之銘言：
: 早上因為這個消息 電影板和C洽板都炸開了
: 明明只是媒體的爆料 也沒正式新聞稿 就引發一連串討論了
: 而目前也只有索尼的官方聲明
: 索尼官方聲明傳送門
:  #1TNCS3ES (movie)
: https://www.ptt.cc/bbs/movie/M.1566361347.A.39C.html
: 看起來也只是說 因為迪士尼不讓凱文費吉再接下來的蜘蛛人電影擔任製作人
: 索尼覺得失望
: 是不是不繼續合作 也講的很曖昧 一切都沒說死就還有其他可能
: 但我最看不慣的是 說索尼或迪士尼貪婪 說兩邊會虧死 說漫威接下來的第四階段會炸
掉
: 說蜘蛛人又要被玩爛
: 怎麼消息還沒說死 就冒出很多精算師幫忙計算損益 或是很多預言家 斷言誰會爆死
: 誰虧不虧損 明明就很難說
: 而且這些大公司 難道會如板眾所想如此短視?
: 或著該說如果真的預測會虧損 真的會放棄這合作計畫 而不繼續重啟談判?
: 至於第四階段 或是索尼自己的規劃 哪邊會爆死還真的難說
: 畢竟 漫威被看衰很多次了 從GOTG就預測漫威即將走下坡 說大家膩了疲軟了
: GOTG沒幾個角色是大眾認識的 結果電影上映以後 該說現在漫威隨便端個什麼東西
: 出來都大賣
: 第四階段又一堆人看衰了 我不想當預言家 我只等上映了再說
: 至於索尼會不會搞爛蜘蛛人 天曉得 現在猛毒成功得打出自己的一片天
: 再讓蜘蛛人跟猛毒合作 搞聯動也不是不行
: 有太多可能性了 怎麼會少哪邊哪邊就倒或是虧損
: 至於貪婪 吃相難看 哪家公司談合約不是以己方利益最大化為前提去談的?
: 談得攏就合作 談不攏就再談 再不行就別合作 商業之間的動作不就如此
: 真的不合作了 有什麼損失也是各自要承擔的
: 真的損失承擔不了 再談合作也不是不可能 不是嗎

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 180.218.171.181 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1566367900.A.976.html
※ 編輯: cheng0611 (101.8.227.218 臺灣), 08/21/2019 14:13:21
※ 編輯: cheng0611 (180.218.171.181 臺灣), 08/21/2019 14:15:13
"
ericisfish (台中李宗瑞),movie,[討論] 華納DC再這樣下去，蝙蝠俠會被買走嗎?,Wed Aug 21 14:23:06 2019,0,"
如題

漫威在最低潮的時候

賣出了蜘蛛人的拍攝權

導致至今就算MCEU再起

蜘蛛人的拍攝版權問題還是很多



而我們華納DC

今天也走到了如漫威的低潮

電影也不怎麼樣


大到家知道

DC知名度少數可以看見蜘蛛人車尾燈的角色

大概就是阿蝙蝙蝠俠了

華納DC再這樣下去

未來蝙蝠俠的拍攝版權有可能會賣掉嗎?

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 36.239.68.126 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1566368589.A.B45.html
DC就華納的阿= =
※ 編輯: ericisfish (36.239.68.126 臺灣), 08/21/2019 15:09:02
"
ZMTL (夜風/瀟湘 VR板已經開板!),movie,Re: [討論] 局外人看索尼和迪士尼關於蜘蛛人的談判,Wed Aug 21 14:37:57 2019,16,"

在C洽跟其他板友討的一點想法。

整件事情看起來是這樣：

米老鼠：接下來第四階段凱文很忙，可能沒辦法幫你們做蜘蛛人3了。
索尼  ：不行，我們需要凱文幫忙。
米老鼠：可以，那把我們的抽成提高吧，錢分我凱文就給你們用。
索尼  ：這合約不行，如果談不攏我們就把蜘蛛人從MCU收回一拍兩散吧。

（雙方持續討論要讓凱文支援蜘蛛3要多少分成）

然後現在看起來是先丟部份消息出來帶風向，就符合兩篇說法啦？


凱文是迪士尼的人，
如果合約沒有保證凱文一定要支援蜘蛛人系列的話他確實就變成了一個雙方談價籌碼。
所以索尼也說不是凱文的問題，畢竟凱文還是要看他老闆（迪士尼）的決定吧。

迪士尼有錯嗎？我覺得米老鼠要把他們最強的人用在MCU本家其實也沒什麼錯吧？
單從這個猜想來看啦。


另外有板友提到，雙方分歧的部份可能包括蜘蛛人3的時程，
可能迪士尼暫時沒計畫（也沒人力），但索尼急著想拍。（並且需要漫威跟凱文的支援）

當然這個分歧可以用錢解決，就看你想讓出多少，也是這次談判的主因。


--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 118.171.223.248 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1566369479.A.E88.html
※ 編輯: ZMTL (118.171.223.248 臺灣), 08/21/2019 14:39:15
"
rueji (rueji),movie,Re: [討論]我知道怎麼幫漫威解套了!,Wed Aug 21 14:46:46 2019,0,"



其實真正的解套也很簡單，就是蜘蛛人成為名符其實的社區英雄。

從此之後大事都不甘他的事，他在他那一區過著幸福快樂的日子

不用賜死也不用搞什麼，就讓蜘蛛人回歸蜘蛛人，等到版權喬攏了，再來拍個跟大事又連
接起來就可以了，大概是這樣


--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 106.1.23.132 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1566370008.A.26A.html
"
Tosca ( ),movie,Re: [閒聊] 關於押井守,Wed Aug 21 14:58:30 2019,4,"
※ 引述《jeanvanjohn (尚市長)》之銘言：
: 把別人的功勞占為己有，然後再恣意妄為惡搞，
: 押井守不過就是動畫界裡的郭公罷了。

1.動畫界本來就八卦一堆
宮崎駿當年霍爾的城堡趕走細田守
整個過程也沒多好看好嘛
細田守當時只差沒憂鬱到要自殺而已
結果還是給他拿到第二次機會 拍了海賊王電影版
也就是祭典男爵
任何人都看得出來
祭典男爵 講的就是他自己



2.既然講到機動警察
怎麼不講更早的福星小子電影版?
當時福星小子電影版 第一集拍到一半 導演落跑
(是真的落跑 找不到人XD)
片商只好強迫押井守出來接手
收拾殘局

出乎意料的 居然還拍的完
票房也還可以

所以才有福星小子第二部電影版
beautiful dreamer
這部就是不折不扣的押井守電影
裡面充滿他的印記
有軍事武器 有活在夢裡的神劇本
甚至還討論了點哲學

類似的情況 在宮崎駿的魯邦三世也看的到
那裡面也充滿了宮崎駿的印記
不管是片頭的飛機 甚至穿飛行裝戴護目鏡的飛行員
那都是典型的宮崎駿味道
連結尾告訴大家
最珍貴得資產不是金銀財寶
而是大自然

更扯的是 連魯邦在裡面開的車
就是宮崎駿自己開的車子XD
雪鐵龍2CV

總之 押井守一開始救了福星小子
也該有點功勞吧
怎麼就直接跳過從機動警察開始講?!



3.要講惡劣
其實不可能有比宮騎駿更惡劣的
多少大師被他趕走 霸菱過XD
庵野秀明甚至說過 沒人可以在宮崎駿的陰影下做事

要講八卦講不完啦
而且我都忘了從哪些書上看到的
這邊一點那邊一點 只能憑記憶拼湊了
話說到現在都還等不到beautiful dreamer在itunes或netfelix推出
讓我想回味也沒辦法o.O

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 114.27.91.32 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1566370712.A.F4D.html
※ 編輯: Tosca (114.27.91.32 臺灣), 08/21/2019 15:01:02
"
justin200428 (7788kkk),movie,駭客任務4 on the way,Wed Aug 21 15:05:28 2019,9,"
不囉嗦

直接上圖

https://i.imgur.com/6SNNuZ5.jpg

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 114.137.22.67 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1566371130.A.D8A.html
"
zoophile (mockingbird),movie,[討論] 上氣將會取代蜘蛛人？,Wed Aug 21 15:05:50 2019,16,"
蜘蛛人原本是鋼鐵人的接班人，但索尼與漫威談判破裂，蜘蛛人將消失於

漫威宇宙，上氣裡的十環幫跟鋼鐵人很有淵源，鋼鐵人第一集就被十環幫

抓走，十環幫的科技也不輸鋼鐵人，這次蜘蛛人離開漫威其實只是一場秀

而已，目的是要讓上氣正式成為鋼鐵人接班人，漫威接下來的策略就是捧

中國人上氣跟黑人美國隊長，接下來再讓同性戀當永恆族的主角。

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 36.235.150.194 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1566371152.A.7E0.html
"
